"","ResponseId","income","exp1_tech_cons"
"815","R_vGBOJ9NASCfcHe1","2.751€ - 3.550€","2.751€ - 3.550€"
"816","R_2pXNN9dBSf8ApiV","901€ - 1.200€","901€ - 1.200€"
"817","R_1hy9k05U52NamNM","601€ - 900€","601€ - 900€"
"818","R_ZrhBoKahHtOtBF7","2.101€ - 2.400€","2.101€ - 2.400€"
"819","R_U9gj1lNtEr2XtTP","1.201€ - 1.500€","1.201€ - 1.500€"
"820","R_25NHrEasDzQR2DU","2.301€ - 2.750€","2.301€ - 2.750€"
"821","R_5yzC5NPS22uV4VH","1.201€ - 1.500€","1.201€ - 1.500€"
"822","R_vDqzX3TTlUCB11D","1.201€ - 1.500€","1.201€ - 1.500€"
"823","R_2Cx3QVJtas8uW8B","901€ - 1.200€","901€ - 1.200€"
"824","R_3Pu7ZyUhrh7VPqJ","600€ or less","600€ or less"
"825","R_2chgeSNbsY9Lrgt","600€ or less","600€ or less"
"826","R_8ffqzdtyfmD9D6F","1.201€ - 1.500€","1.201€ - 1.500€"
"827","R_wS2fV8VTtnpm1eV","1.501€ - 1.800€","1.501€ - 1.800€"
"828","R_3FRqqtLfKL0W75F","600€ or less","600€ or less"
"829","R_aXHeOwqlVu08jyp","600€ or less","600€ or less"
"830","R_2VBEPMZWtba3Qx9","1.801€ - 2.100€","1.801€ - 2.100€"
"831","R_3HozuSVHhwuFYr2","1.201€ - 1.500€","1.201€ - 1.500€"
"832","R_1DS90xgLnxILVer","901€ - 1.200€","901€ - 1.200€"
"833","R_2SDI8NTEcJhPvfE","2.101€ - 2.400€","2.101€ - 2.400€"
"834","R_28NzScadYvbhjup","1.201€ - 1.500€","1.201€ - 1.500€"
"835","R_6fXuX9tbuCjjE3L","901€ - 1.200€","901€ - 1.200€"
"836","R_1g8cmsOqyYyDT5s","600€ or less","600€ or less"
"837","R_3JxT5jE3OB2Qdpt","901€ - 1.200€","901€ - 1.200€"
"838","R_5zrO0P013q7BhbH","2.101€ - 2.400€","2.101€ - 2.400€"
"839","R_bg46yMOL0cMR4Fb","600€ or less","600€ or less"
"840","R_etW9lsXOAR7y7iF","600€ or less","600€ or less"
"841","R_2vYRod850ckTdcv","601€ - 900€","601€ - 900€"
"842","R_2Csw0JvIDh8yPMK","901€ - 1.200€","901€ - 1.200€"
"843","R_OeO67Vlja9eaVoZ","2.751€ - 3.550€","2.751€ - 3.550€"
"844","R_866YubQBf3hYCYN","600€ or less","600€ or less"
"845","R_2ypSwH33rsx1bnc","901€ - 1.200€","901€ - 1.200€"
"846","R_2VPkpQPmTm6AD7Z","1.501€ - 1.800€","1.501€ - 1.800€"
"847","R_2yqrH8g6Qp6iyfY","600€ or less","600€ or less"
"848","R_3hrMXI2busxbtUA","901€ - 1.200€","901€ - 1.200€"
"849","R_3nHMxuZJ9PIyXpA","1.801€ - 2.100€","1.801€ - 2.100€"
"850","R_BttrdSZcaFG4Snn","600€ or less","600€ or less"
"851","R_1pyuk58FuB3EwrU","901€ - 1.200€","901€ - 1.200€"
"852","R_2TESCXVuQ9ZUPN0","600€ or less","600€ or less"
"853","R_1k1fpCBDpzVnGHm","1.501€ - 1.800€","1.501€ - 1.800€"
"854","R_DqTw7u4wVTqnE65","1.201€ - 1.500€","1.201€ - 1.500€"
"855","R_3PdifDNXcnPVlQW","1.801€ - 2.100€","1.801€ - 2.100€"
"856","R_31cru6eIfzQg77n","1.201€ - 1.500€","1.201€ - 1.500€"
"857","R_1nZmzabERBVxGEG","601€ - 900€","601€ - 900€"
"858","R_pSiAJPdaP0bi0qR","901€ - 1.200€","901€ - 1.200€"
"859","R_w6OfahhRNVXKY2l","2.101€ - 2.400€","2.101€ - 2.400€"
"860","R_3Olf7EFHz5Kthgw","600€ or less","600€ or less"
"861","R_3m4AuKQH9u9clLn","1.201€ - 1.500€","1.201€ - 1.500€"
"862","R_2YXS3NAUJu9e3md","601€ - 900€","601€ - 900€"
"863","R_1pyXSAcj2xRPb53","600€ or less","600€ or less"
"864","R_3MsOFEF8eEENX6t","901€ - 1.200€","901€ - 1.200€"
"865","R_20Y7iGHZ0Oc1tvU","600€ or less","600€ or less"
"866","R_1N9D0Q042WKMhCe","600€ or less","600€ or less"
"867","R_RWZwP8y0L1x8H9n","1.501€ - 1.800€","1.501€ - 1.800€"
"868","R_R83fcq3OEN7D6Kd","2.101€ - 2.400€","2.101€ - 2.400€"
"869","R_2pPQ1eZ6vzeHV7Z","1.201€ - 1.500€","1.201€ - 1.500€"
"870","R_3fuAcN7ceyLKNyI","1.801€ - 2.100€","1.801€ - 2.100€"
"871","R_2WMAnCq6jQ5ofVz","600€ or less","600€ or less"
"872","R_BLM3Mfn550uk4X7","601€ - 900€","601€ - 900€"
"873","R_2cwoOEGnQx2wLJS","601€ - 900€","601€ - 900€"
"874","R_10DaQZCUjG6zdps","901€ - 1.200€","901€ - 1.200€"
"875","R_RXBPO5LYUv4vrzj","601€ - 900€","601€ - 900€"
"876","R_1DDdMia97bzRVuP","1.501€ - 1.800€","1.501€ - 1.800€"
"877","R_3k86cmQbR1Oj4Vw","1.201€ - 1.500€","1.201€ - 1.500€"
"878","R_1pQGAwkE12IiWP7","901€ - 1.200€","901€ - 1.200€"
"879","R_3hu2LUypIww2Ugn","1.801€ - 2.100€","1.801€ - 2.100€"
"880","R_1Hpq5RcoOBZbSpX","901€ - 1.200€","901€ - 1.200€"
"881","R_3suBe1VDMwqjqQq","2.101€ - 2.400€","2.101€ - 2.400€"
"882","R_1LvfW5TEZpB8oT2","600€ or less","600€ or less"
"883","R_1oA0JiScrNs9AAO","1.501€ - 1.800€","1.501€ - 1.800€"
"884","R_3khxu4WG4Lssm0x","600€ or less","600€ or less"
"885","R_24JcAiA8ffQMuJE","1.801€ - 2.100€","1.801€ - 2.100€"
"886","R_a9vrSfECBtfoLjX","1.501€ - 1.800€","1.501€ - 1.800€"
"887","R_1o7tTtzdZbR42Zz","600€ or less","600€ or less"
"888","R_AhXxDnGktkSYekh","1.201€ - 1.500€","1.201€ - 1.500€"
"889","R_2SkNuGtKGUXHwjr","601€ - 900€","601€ - 900€"
"890","R_3GrMPW01uIFc6si","600€ or less","600€ or less"
"891","R_1gBi4LX6IeWZea6","1.801€ - 2.100€","1.801€ - 2.100€"
"892","R_3nxhWg6iw44Sekv","1.501€ - 1.800€","1.501€ - 1.800€"
"893","R_25MkQ1TxiiQMQaw","2.101€ - 2.400€","2.101€ - 2.400€"
"894","R_0kdbqtdbvTG3cSR","600€ or less","600€ or less"
"895","R_2QGI4bz9bFaMOd9","1.201€ - 1.500€","1.201€ - 1.500€"
"896","R_1DOl5Jy0zpW7aCB","600€ or less","600€ or less"
"897","R_2Tz1vMuZ0upm11a","600€ or less","600€ or less"
"898","R_b8jx8Y4dwwHhmXn","901€ - 1.200€","901€ - 1.200€"
"899","R_wMK61gd1tuRBbRT","1.201€ - 1.500€","1.201€ - 1.500€"
"900","R_XoIsA304sEInlJv","600€ or less","600€ or less"
"901","R_2bNQupg7rSqKQXi","600€ or less","600€ or less"
"902","R_27NIuRJKqZphoan","600€ or less","600€ or less"
"903","R_2PvwwctswygmONC","600€ or less","600€ or less"
"904","R_1ovTKeld5v8z6MK","901€ - 1.200€","901€ - 1.200€"
"905","R_9N8JiUptC6uxep3","2.301€ - 2.750€","2.301€ - 2.750€"
"906","R_2fIPlNRvDRsvxLa","1.201€ - 1.500€","1.201€ - 1.500€"
"907","R_3O7AzP60Qbv5JHJ","1.801€ - 2.100€","1.801€ - 2.100€"
"908","R_1pniH6scU7xrLlS","601€ - 900€","601€ - 900€"
"909","R_3po58lKn673KlTc","601€ - 900€","601€ - 900€"
"910","R_2wAEjx9wNs5qdwb","2.751€ - 3.550€","2.751€ - 3.550€"
"911","R_2ByUcjixSFZi6Us","601€ - 900€","601€ - 900€"
"912","R_2ts3GNSl8ybnQJf","601€ - 900€","601€ - 900€"
"913","R_u3PaDsWWfWuu5MZ","901€ - 1.200€","901€ - 1.200€"
"914","R_30dxEuaQNquMMod","1.201€ - 1.500€","1.201€ - 1.500€"
"915","R_1kXqcX5CTFGyc4N","1.801€ - 2.100€","1.801€ - 2.100€"
"916","R_2XnXr87r2qMOC0Z","600€ or less","600€ or less"
"917","R_NVaEGQ5f5aTNOpz","901€ - 1.200€","901€ - 1.200€"
"918","R_31zRp9pyEdbUilS","901€ - 1.200€","901€ - 1.200€"
"919","R_3GAEKLr1Nixcx1b","901€ - 1.200€","901€ - 1.200€"
"920","R_2w68yYiMTrs6c6m","1.801€ - 2.100€","1.801€ - 2.100€"
"921","R_QfQI8f5qCbprmlr","1.201€ - 1.500€","1.201€ - 1.500€"
"922","R_2ElNI2MwYjlhSJG","1.201€ - 1.500€","1.201€ - 1.500€"
"923","R_31vCzDVECEHLxf6","601€ - 900€","601€ - 900€"
"924","R_1repAeKBD2JUITJ","600€ or less","600€ or less"
"925","R_2ye0PlIR4bDygNl","901€ - 1.200€","901€ - 1.200€"
"926","R_1gT8jIBO7RPnBTs","601€ - 900€","601€ - 900€"
"927","R_10SMdLhrNjOP4J6","601€ - 900€","601€ - 900€"
"928","R_2SrzBubZt9PW2k4","1.201€ - 1.500€","1.201€ - 1.500€"
"929","R_10UE65VIKtNtFiC","600€ or less","600€ or less"
"930","R_28U8EgVNCtHKbYk","601€ - 900€","601€ - 900€"
"931","R_wWTIzlp2S2bl18B","1.501€ - 1.800€","1.501€ - 1.800€"
"932","R_2V7QJlTQ6hxquKs","1.201€ - 1.500€","1.201€ - 1.500€"
"933","R_RfDdFBXnAulgSkx","600€ or less","600€ or less"
"934","R_1jjhuVnUio1U74h","More than 3.550€","More than 3.550€"
"935","R_3n2EVs8GrKsLL1v","600€ or less","600€ or less"
"936","R_29hrNzY26X7ZGkU","600€ or less","600€ or less"
"937","R_3R1lNtXXnBOjNIv","1.501€ - 1.800€","1.501€ - 1.800€"
"938","R_1dcYGZShZuA1q8P","600€ or less","600€ or less"
"939","R_3hbjVb5kbLy9mgl","More than 3.550€","More than 3.550€"
"940","R_1hVY3AnEriEwQfn","2.101€ - 2.400€","2.101€ - 2.400€"
"941","R_2QKTDwlMq8SOGIY","601€ - 900€","601€ - 900€"
"942","R_XRGIioktLWw4rFD","600€ or less","600€ or less"
"943","R_0DhRqUdP7xLB85z","1.201€ - 1.500€","1.201€ - 1.500€"
"944","R_2c7T7l98zMP7cyI","901€ - 1.200€","901€ - 1.200€"
"945","R_3R93I9gdDX5sNNj","901€ - 1.200€","901€ - 1.200€"
"946","R_2QLMxo2KDmQdGSD","1.201€ - 1.500€","1.201€ - 1.500€"
"947","R_xmgEzBygc0ny0Fj","901€ - 1.200€","901€ - 1.200€"
"948","R_r6GQ4JTdFkt8b9T","1.201€ - 1.500€","1.201€ - 1.500€"
"949","R_2SojD0dfgdjgDzd","1.201€ - 1.500€","1.201€ - 1.500€"
"950","R_1GCSoC1sdwCxkob","1.801€ - 2.100€","1.801€ - 2.100€"
"951","R_YbhDfMvHJVHfjSF","1.801€ - 2.100€","1.801€ - 2.100€"
"952","R_22JQN6qiMlniAfn","1.501€ - 1.800€","1.501€ - 1.800€"
"953","R_1MZhQnuwNPIgNzz","600€ or less","600€ or less"
"954","R_UlHGcOkkmrTS1z3","601€ - 900€","601€ - 900€"
"955","R_3QPO4cP7N6dGgCW","1.801€ - 2.100€","1.801€ - 2.100€"
"956","R_1ILdX1C5AsGQh5E","601€ - 900€","601€ - 900€"
"957","R_AdiiSKZ34XALOUx","600€ or less","600€ or less"
"958","R_12KdK7EiTnlyrAZ","901€ - 1.200€","901€ - 1.200€"
"959","R_2eR2BknFrnu2d3g","1.201€ - 1.500€","1.201€ - 1.500€"
"960","R_3hmdwefgThNRoaV","1.501€ - 1.800€","1.501€ - 1.800€"
"961","R_2yjZe53dIdy9rOg","1.201€ - 1.500€","1.201€ - 1.500€"
"962","R_1LA6782uR6vLdu9","600€ or less","600€ or less"
"963","R_3qVEr3lbvCeQ7hI","1.801€ - 2.100€","1.801€ - 2.100€"
"964","R_vPu5Ln6ZoZPbwK5","600€ or less","600€ or less"
"965","R_2zA9cSaM5I9waAM","1.201€ - 1.500€","1.201€ - 1.500€"
"966","R_3h9ZrJfgDXl4V5x","2.101€ - 2.400€","2.101€ - 2.400€"
"967","R_215FhuPD0KinQcS","901€ - 1.200€","901€ - 1.200€"
"968","R_2SlAJrCfGGZMKK0","901€ - 1.200€","901€ - 1.200€"
"969","R_20NbCGIFVSzBjmz","600€ or less","600€ or less"
"970","R_3NOEOXEtcBLyfoV","1.201€ - 1.500€","1.201€ - 1.500€"
"971","R_1Imkg0uQYxHQPge","1.201€ - 1.500€","1.201€ - 1.500€"
"972","R_21mpvzS8Pm4bQsi","600€ or less","600€ or less"
"973","R_1pyetLHCN4rk67p","600€ or less","600€ or less"
"974","R_1pYhaPu3TOQaRfI","600€ or less","600€ or less"
"975","R_3HzDGx2p0MiurD4","901€ - 1.200€","901€ - 1.200€"
"976","R_25LTj7x6Du9cyEG","1.201€ - 1.500€","1.201€ - 1.500€"
"977","R_ALi2F1mi8leViQ9","901€ - 1.200€","901€ - 1.200€"
"978","R_1DGfnlm0kCV50v4","1.201€ - 1.500€","1.201€ - 1.500€"
"979","R_1eVR4ZsyrpX3OCj","601€ - 900€","601€ - 900€"
"980","R_RqcvrAIk3AvlRBf","2.301€ - 2.750€","2.301€ - 2.750€"
"981","R_DwQRgfshNR88H9D","1.201€ - 1.500€","1.201€ - 1.500€"
"982","R_3MzirLY6NOSGXfS","1.801€ - 2.100€","1.801€ - 2.100€"
"983","R_3QYlrL9IYuaiRyO","600€ or less","600€ or less"
"984","R_Rwu8bziuM4cHQnn","601€ - 900€","601€ - 900€"
"985","R_2rHeZkxl3HFFQHD","601€ - 900€","601€ - 900€"
"986","R_WcBmcSrbRTg9sKR","901€ - 1.200€","901€ - 1.200€"
"987","R_2wBoqS8evm2UYBa","1.201€ - 1.500€","1.201€ - 1.500€"
"988","R_1DnB746YNRAFQD2","901€ - 1.200€","901€ - 1.200€"
"989","R_3KPlESG09J5hFVY","600€ or less","600€ or less"
"990","R_3dGqI6XRlWiBJ0r","1.801€ - 2.100€","1.801€ - 2.100€"
"991","R_12AzFyXOGwqOU3S","1.501€ - 1.800€","1.501€ - 1.800€"
"992","R_3kFGkwb92McE77H","600€ or less","600€ or less"
"993","R_3JK0iRxwOoyJTJb","601€ - 900€","601€ - 900€"
"994","R_3HuazOd64OdOkpz","901€ - 1.200€","901€ - 1.200€"
"995","R_3iPBOqUAU9r9Km4","1.201€ - 1.500€","1.201€ - 1.500€"
"996","R_2QFgCrEJCDS6JBj","600€ or less","600€ or less"
"997","R_2wBILx3IIdjK2xp","600€ or less","600€ or less"
"998","R_yL4HzZvLWBTnRPr","2.101€ - 2.400€","2.101€ - 2.400€"
"999","R_11aq1T2ZXbhlGMP","901€ - 1.200€","901€ - 1.200€"
"1000","R_2qgTnSQs8ipT9KB","1.201€ - 1.500€","1.201€ - 1.500€"
"1001","R_3qBVwoHunzwKWdf","1.201€ - 1.500€","1.201€ - 1.500€"
"1002","R_3kw7Dg3iv9SBPGs","2.101€ - 2.400€","2.101€ - 2.400€"
"1003","R_2cdcVpM3HwGYNni","1.501€ - 1.800€","1.501€ - 1.800€"
"1004","R_pQUk4p4g4jfnglP","1.201€ - 1.500€","1.201€ - 1.500€"
"1005","R_1OPnmAl3GYjxQwo","1.501€ - 1.800€","1.501€ - 1.800€"
"1006","R_QlBMJ4JW7gRHINr","1.201€ - 1.500€","1.201€ - 1.500€"
"1007","R_CZAxrTXSOZSQsq5","1.201€ - 1.500€","1.201€ - 1.500€"
"1008","R_2CJHiLEiBwfm311","600€ or less","600€ or less"
"1009","R_yVWa7jLRAFIYRhL","2.101€ - 2.400€","2.101€ - 2.400€"
"1010","R_3NIG9lBtghUClL2","1.201€ - 1.500€","1.201€ - 1.500€"
"1011","R_10ORFZ6MiXyhmL7","1.201€ - 1.500€","1.201€ - 1.500€"
"1012","R_x6s7KusiTgX0Xct","901€ - 1.200€","901€ - 1.200€"
"1013","R_3Koq6LyL7DmPvEk","2.301€ - 2.750€","2.301€ - 2.750€"
"1014","R_DIPTHnBQp8J8Bcl","600€ or less","600€ or less"
"1015","R_uaWQzqsZendjOlH","601€ - 900€","601€ - 900€"
"1016","R_2fvvBQFb4uQ08Es","901€ - 1.200€","901€ - 1.200€"
"1017","R_5zNzTYsE6w6tJMl","1.801€ - 2.100€","1.801€ - 2.100€"
"1018","R_3jcAjeEp7pBLziJ","901€ - 1.200€","901€ - 1.200€"
"1019","R_2WZ4Rd4PA8HrFxs","601€ - 900€","601€ - 900€"
"1020","R_1LkCVDti2S4sdY8","1.201€ - 1.500€","1.201€ - 1.500€"
"1021","R_3I5IOvqLLppMH7k","901€ - 1.200€","901€ - 1.200€"
"1022","R_26ezMg9wIbvFKic","1.201€ - 1.500€","1.201€ - 1.500€"
"1023","R_2UgEiS3SsIkFll2","2.101€ - 2.400€","2.101€ - 2.400€"
"1024","R_vH0v6oe80aLY3PH","2.751€ - 3.550€","2.751€ - 3.550€"
"1025","R_3G6BXRbi1vW74e3","601€ - 900€","601€ - 900€"
"1026","R_2ZVVphNF5jR1cPK","901€ - 1.200€","901€ - 1.200€"
"1027","R_XGlNsKjH4flPJXb","901€ - 1.200€","901€ - 1.200€"
"1028","R_2OTsKqIWi5yEkv8","1.501€ - 1.800€","1.501€ - 1.800€"
"1029","R_p4dO7mTPLhpE8fL","1.501€ - 1.800€","1.501€ - 1.800€"
"1030","R_1lz61WF6sAnxG0z","1.201€ - 1.500€","1.201€ - 1.500€"
"1031","R_30wnvsTkEfTtusS","1.501€ - 1.800€","1.501€ - 1.800€"
"1032","R_3gX82bGBsboP9nC","1.201€ - 1.500€","1.201€ - 1.500€"
"1033","R_2tz2saYeItWHCrq","901€ - 1.200€","901€ - 1.200€"
"1034","R_128XLtc8FFY0CWm","1.801€ - 2.100€","1.801€ - 2.100€"
"1035","R_1GDBBWycumUuh7a","2.301€ - 2.750€","2.301€ - 2.750€"
"1036","R_py4ig9UTVQ76U8h","600€ or less","600€ or less"
"1037","R_RXkfHPGZvvOHT5D","600€ or less","600€ or less"
"1038","R_SDxwwRv3bvDMFyN","600€ or less","600€ or less"
"1039","R_1M5mceiQ4bzX9rK","1.201€ - 1.500€","1.201€ - 1.500€"
"1040","R_2tF1VrZD9FsfutY","600€ or less","600€ or less"
"1041","R_3HtX9i8BbLju1pp","600€ or less","600€ or less"
"1042","R_2D0JXDnGQglBdzT","601€ - 900€","601€ - 900€"
"1043","R_2xXhRHw0CMnxSRJ","2.751€ - 3.550€","2.751€ - 3.550€"
"1044","R_1o1LH4XUCgVeU5S","1.801€ - 2.100€","1.801€ - 2.100€"
"1045","R_cTSPUH2rztUn8wp","1.801€ - 2.100€","1.801€ - 2.100€"
"1046","R_BtUjjllGMRsYmnT","901€ - 1.200€","901€ - 1.200€"
"1047","R_2sjfUulPzNF9t29","2.101€ - 2.400€","2.101€ - 2.400€"
"1048","R_3LdaPvmw3MD281s","901€ - 1.200€","901€ - 1.200€"
"1049","R_237PHILi7hsVvc9","1.501€ - 1.800€","1.501€ - 1.800€"
"1050","R_1Ug5jcnBdAUwZ6V","1.201€ - 1.500€","1.201€ - 1.500€"
"1051","R_1IabCqXwn3xWCQZ","600€ or less","600€ or less"
"1052","R_2YEsqHK6ltffY39","600€ or less","600€ or less"
"1053","R_271ZorsSeHR7FFa","1.801€ - 2.100€","1.801€ - 2.100€"
"1054","R_2ScLLi2Slajlrex","1.801€ - 2.100€","1.801€ - 2.100€"
"1055","R_3EoQcV81H0rpXug","1.501€ - 1.800€","1.501€ - 1.800€"
"1056","R_1litXTkNbmZBIx6","600€ or less","600€ or less"
"1057","R_2s4iMAPYltHFol3","600€ or less","600€ or less"
"1058","R_24GkgEMn4mV5utK","2.101€ - 2.400€","2.101€ - 2.400€"
"1059","R_1oHocKQ86oN80dI","901€ - 1.200€","901€ - 1.200€"
"1060","R_2vY9Cu1OcarMo5k","1.501€ - 1.800€","1.501€ - 1.800€"
"1061","R_3m1rUIaZVd6Ch7a","600€ or less","600€ or less"
"1062","R_3EgRVaZLJyrUybF","1.501€ - 1.800€","1.501€ - 1.800€"
"1063","R_2VI44H0QARzfzGR","1.201€ - 1.500€","1.201€ - 1.500€"
"1064","R_1rB6i0eh4zyw3oi","901€ - 1.200€","901€ - 1.200€"
"1065","R_33frrE0vtVga0Bq","600€ or less","600€ or less"
"1066","R_ebV8FWB3huiWP17","600€ or less","600€ or less"
"1067","R_3TWIP2lBePKxHC9","1.201€ - 1.500€","1.201€ - 1.500€"
"1068","R_2ag9GGkIqreOcBB","600€ or less","600€ or less"
"1069","R_rqMfhtEZ2XlruIF","600€ or less","600€ or less"
"1070","R_1JWJTquVssntFAx","601€ - 900€","601€ - 900€"
"1071","R_22lXDe6aJ6HqkD4","600€ or less","600€ or less"
"1072","R_2QYZ5KldwefSJZE","601€ - 900€","601€ - 900€"
"1073","R_11YrFvGy1NIUN88","901€ - 1.200€","901€ - 1.200€"
"1074","R_3ez8ZbYcjvOehnb","600€ or less","600€ or less"
"1075","R_2CxHLq26s0WCc7e","1.201€ - 1.500€","1.201€ - 1.500€"
"1076","R_28Tyiqd7NHj37RU","600€ or less","600€ or less"
"1077","R_33DsPX8WYRpItBj","2.101€ - 2.400€","2.101€ - 2.400€"
"1078","R_3G0OLVumuGx1HHz","601€ - 900€","601€ - 900€"
"1079","R_31blePSVj2vGdX0","601€ - 900€","601€ - 900€"
"1080","R_1o0zA0HdtS4vkNQ","2.301€ - 2.750€","2.301€ - 2.750€"
"1081","R_27CLp0lj80g9M4C","1.201€ - 1.500€","1.201€ - 1.500€"
"1082","R_1TfkirldMn0Un8R","1.501€ - 1.800€","1.501€ - 1.800€"
"1083","R_1pyh9JVz7t2D9n1","1.201€ - 1.500€","1.201€ - 1.500€"
"1084","R_3MLM3dh3yQndb3Y","1.201€ - 1.500€","1.201€ - 1.500€"
"1085","R_x58qkw2ESTrFUHf","601€ - 900€","601€ - 900€"
"1086","R_3QDwHTnTHpKNkuX","1.501€ - 1.800€","1.501€ - 1.800€"
"1087","R_3QDjDbcdhlF0S5u","901€ - 1.200€","901€ - 1.200€"
"1088","R_UftxkS28SdPI7rb","1.201€ - 1.500€","1.201€ - 1.500€"
"1089","R_voFDviVEyz0dvG1","1.201€ - 1.500€","1.201€ - 1.500€"
"1090","R_2fH60wl4FqHsbCw","601€ - 900€","601€ - 900€"
"1091","R_4JaR6RxoJIFsAP7","1.201€ - 1.500€","1.201€ - 1.500€"
"1092","R_2zRTE97xKIqLYtt","901€ - 1.200€","901€ - 1.200€"
"1093","R_1hFlNe0TJJ63ica","601€ - 900€","601€ - 900€"
"1094","R_7X8PDbTjcy14ZSF","2.101€ - 2.400€","2.101€ - 2.400€"
"1095","R_1rfbVMqwJpkTAWA","1.201€ - 1.500€","1.201€ - 1.500€"
"1096","R_2dFO1U5M4HK0JJk","1.201€ - 1.500€","1.201€ - 1.500€"
"1097","R_2dYdIXipqmmABAN","601€ - 900€","601€ - 900€"
"1098","R_3MAUK6ZSS5eBlYC","1.201€ - 1.500€","1.201€ - 1.500€"
"1099","R_1pDTZti3iGCe6GW","2.101€ - 2.400€","2.101€ - 2.400€"
"1100","R_1LjnUvOmg5WUJ6O","600€ or less","600€ or less"
"1101","R_d9V41YGWHdLi17H","600€ or less","600€ or less"
"1102","R_30eIDqHnMbT64Fa","1.801€ - 2.100€","1.801€ - 2.100€"
"1103","R_2dSiCg8arCh2DJw","600€ or less","600€ or less"
"1104","R_uxdwcFr9tzKTMS5","901€ - 1.200€","901€ - 1.200€"
"1105","R_yl2nXY1gNMjPFg5","600€ or less","600€ or less"
"1106","R_ZDGc2a7rnPIvSk9","600€ or less","600€ or less"
"1107","R_211a3e3uI3eww59","601€ - 900€","601€ - 900€"
"1108","R_2aEUsWAXuyILDQR","600€ or less","600€ or less"
"1109","R_3pupoUBgEx5niXk","600€ or less","600€ or less"
"1110","R_32XwqrsI0dpQLzs","901€ - 1.200€","901€ - 1.200€"
"1111","R_4TMrkagnMnpkK8F","601€ - 900€","601€ - 900€"
"1112","R_25znLAMi50eBVzz","1.501€ - 1.800€","1.501€ - 1.800€"
"1113","R_AgMhfwyTWX8sBHz","1.201€ - 1.500€","1.201€ - 1.500€"
"1114","R_1lmz0n4Rq129ySJ","901€ - 1.200€","901€ - 1.200€"
"1115","R_1pYlxMdD5h91eof","1.201€ - 1.500€","1.201€ - 1.500€"
"1116","R_2fiAH5hMzjzEwcQ","1.801€ - 2.100€","1.801€ - 2.100€"
"1117","R_YSs9GhHvkE9BdhD","600€ or less","600€ or less"
"1118","R_22xJiwEkbCpvc6s","600€ or less","600€ or less"
"1119","R_3dKefL2sFjzuADS","1.801€ - 2.100€","1.801€ - 2.100€"
"1120","R_WD77xndWJwsa4rn","600€ or less","600€ or less"
"1121","R_1dpg6lUZKLPZuZd","600€ or less","600€ or less"
"1122","R_aWeE6YCdO5Rrbup","1.501€ - 1.800€","1.501€ - 1.800€"
"1123","R_dhhoaEWcnxzXiWl","1.201€ - 1.500€","1.201€ - 1.500€"
"1124","R_3hcMO11w9z9mRMZ","901€ - 1.200€","901€ - 1.200€"
"1125","R_1pQAYVdq4fsVE0b","901€ - 1.200€","901€ - 1.200€"
"1126","R_2CwTS4qAGI7QBd8","601€ - 900€","601€ - 900€"
"1127","R_1EdmMqeiKtoCDmM","601€ - 900€","601€ - 900€"
"1128","R_3a4Z9N3VnHktXSF","1.201€ - 1.500€","1.201€ - 1.500€"
"1129","R_27I1Il6lQpXa7qU","1.501€ - 1.800€","1.501€ - 1.800€"
"1130","R_2dWsCKxjrOrSxw3","1.501€ - 1.800€","1.501€ - 1.800€"
"1131","R_2t2Kn07U0tL3D9k","2.101€ - 2.400€","2.101€ - 2.400€"
"1132","R_XyTq8UvNMdhdpLj","901€ - 1.200€","901€ - 1.200€"
"1133","R_BQc3eJMnOOjYsZr","601€ - 900€","601€ - 900€"
"1134","R_20Pgg7QGDs77HAp","601€ - 900€","601€ - 900€"
"1135","R_11gPOczI3NFJT72","600€ or less","600€ or less"
"1136","R_yVzcWdfP3TOULbX","More than 3.550€","More than 3.550€"
"1137","R_1LIJrNhdITebp6m","601€ - 900€","601€ - 900€"
"1138","R_UnXRyKmVjoLwIDf","901€ - 1.200€","901€ - 1.200€"
"1139","R_tDjvCLXPpbnxQIx","601€ - 900€","601€ - 900€"
"1140","R_3KGzsKJWURMk5nI","1.501€ - 1.800€","1.501€ - 1.800€"
"1141","R_DMgoRLokexQcQOR","1.201€ - 1.500€","1.201€ - 1.500€"
"1142","R_3NQE4k41Pvz3fb3","1.501€ - 1.800€","1.501€ - 1.800€"
"1143","R_1IQITkHWkYcNN8d","1.201€ - 1.500€","1.201€ - 1.500€"
"1144","R_2QJqT0wbaN4JntJ","More than 3.550€","More than 3.550€"
"1145","R_11bd44lAz4YEo9i","1.801€ - 2.100€","1.801€ - 2.100€"
"1146","R_337l0YPnVkRoS36","1.801€ - 2.100€","1.801€ - 2.100€"
"1147","R_2rVC2kQ7BNUwoIv","1.201€ - 1.500€","1.201€ - 1.500€"
"1148","R_1C9pQRd3Z1YW1Wa","2.751€ - 3.550€","2.751€ - 3.550€"
"1149","R_129KkPmcQloslbV","901€ - 1.200€","901€ - 1.200€"
"1150","R_VP5GrQT54Mmuo4p","600€ or less","600€ or less"
"1151","R_1OZAvZIpR97siSm","600€ or less","600€ or less"
"1152","R_ZaZ3oReRRLX1geR","1.201€ - 1.500€","1.201€ - 1.500€"
"1153","R_1cTh7wCpeWa7j6B","600€ or less","600€ or less"
"1154","R_esyZLiA9BGnRMhX","600€ or less","600€ or less"
